authors,original_publication_year,title,image_url
"J.K. Rowling, Mary GrandPré",2005,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",https://images.gr-assets.com/books/1361039191m/1.jpg
William Golding,1954,Lord of the Flies,https://images.gr-assets.com/books/1327869409m/7624.jpg
"William Shakespeare, Robert           Jackson",1595,Romeo and Juliet,https://images.gr-assets.com/books/1327872146m/18135.jpg
Gillian Flynn,2012,Gone Girl,https://images.gr-assets.com/books/1339602131m/8442457.jpg
Kathryn Stockett,2009,The Help,https://images.gr-assets.com/books/1346100365m/4667024.jpg
John Steinbeck,1937,Of Mice and Men,https://images.gr-assets.com/books/1437235233m/890.jpg
Arthur Golden,1997,Memoirs of a Geisha,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
E.L. James,2011,"Fifty Shades of Grey (Fifty Shades, #1)",https://images.gr-assets.com/books/1385207843m/10818853.jpg
"Paulo Coelho, Alan R. Clarke",1988,The Alchemist,https://images.gr-assets.com/books/1483412266m/865.jpg
Lois Lowry,1993,"The Giver (The Giver, #1)",https://images.gr-assets.com/books/1342493368m/3636.jpg
C.S. Lewis,1950,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",https://images.gr-assets.com/books/1353029077m/100915.jpg
Audrey Niffenegger,2003,The Time Traveler's Wife,https://images.gr-assets.com/books/1437728815m/14050.jpg
George R.R. Martin,1996,"A Game of Thrones (A Song of Ice and Fire, #1)",https://images.gr-assets.com/books/1436732693m/13496.jpg
Elizabeth Gilbert,2006,"Eat, Pray, Love",https://images.gr-assets.com/books/1503066414m/19501.jpg
Rick Riordan,2005,"The Lightning Thief (Percy Jackson and the Olympians, #1)",https://images.gr-assets.com/books/1400602609m/28187.jpg
Louisa May Alcott,1868,"Little Women (Little Women, #1)",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
"Charlotte Brontë, Michael Mason",1847,Jane Eyre,https://images.gr-assets.com/books/1327867269m/10210.jpg
Nicholas Sparks,1996,"The Notebook (The Notebook, #1)",https://images.gr-assets.com/books/1385738917m/15931.jpg
Yann Martel,2001,Life of Pi,https://images.gr-assets.com/books/1320562005m/4214.jpg
Sara Gruen,2006,Water for Elephants,https://images.gr-assets.com/books/1494428973m/43641.jpg
Markus Zusak,2005,The Book Thief,https://images.gr-assets.com/books/1390053681m/19063.jpg
Ray Bradbury,1953,Fahrenheit 451,https://images.gr-assets.com/books/1351643740m/4381.jpg
Stephenie Meyer,2006,"New Moon (Twilight, #2)",https://images.gr-assets.com/books/1361039440m/49041.jpg
Shel Silverstein,1974,Where the Sidewalk Ends,https://images.gr-assets.com/books/1168052448m/30119.jpg
Cassandra Clare,2007,"City of Bones (The Mortal Instruments, #1)",https://images.gr-assets.com/books/1432730315m/256683.jpg
Stephenie Meyer,2007,"Eclipse (Twilight, #3)",https://images.gr-assets.com/books/1361038355m/428263.jpg
Christopher Paolini,2002,"Eragon (The Inheritance Cycle, #1)",https://images.gr-assets.com/books/1366212852m/113436.jpg
Douglas Adams,1979,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",https://images.gr-assets.com/books/1327656754m/11.jpg
Aldous Huxley,1932,Brave New World,https://images.gr-assets.com/books/1487389574m/5129.jpg
Stephenie Meyer,2008,"Breaking Dawn (Twilight, #4)",https://images.gr-assets.com/books/1361039438m/1162543.jpg
Sue Monk Kidd,2001,The Secret Life of Bees,https://images.gr-assets.com/books/1473454532m/37435.jpg
"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,https://images.gr-assets.com/books/1405973850m/2956.jpg
"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,https://images.gr-assets.com/books/1439632243m/24178.jpg
Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,https://images.gr-assets.com/books/1479863624m/1618.jpg
Paula Hawkins,2015,The Girl on the Train,https://images.gr-assets.com/books/1490903702m/22557272.jpg
Philip Pullman,1995,"The Golden Compass (His Dark Materials, #1)",https://images.gr-assets.com/books/1451271747m/119322.jpg
"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Jodi Picoult,2004,My Sister's Keeper,https://images.gr-assets.com/books/1369504683m/10917.jpg
Kurt Vonnegut Jr.,1969,Slaughterhouse-Five,https://images.gr-assets.com/books/1440319389m/4981.jpg
Margaret Mitchell,1936,Gone with the Wind,https://images.gr-assets.com/books/1328025229m/18405.jpg
Khaled Hosseini,2007,A Thousand Splendid Suns,https://images.gr-assets.com/books/1345958969m/128029.jpg
Stephen Chbosky,1999,The Perks of Being a Wallflower,https://images.gr-assets.com/books/1167352178m/22628.jpg
Veronica Roth,2012,"Insurgent (Divergent, #2)",https://images.gr-assets.com/books/1325667729m/11735983.jpg
Orson Scott Card,1985,"Ender's Game (Ender's Saga, #1)",https://images.gr-assets.com/books/1408303130m/375802.jpg
"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,Frankenstein,https://images.gr-assets.com/books/1381512375m/18490.jpg
Stephen King,1977,The Shining (The Shining #1),https://images.gr-assets.com/books/1353277730m/11588.jpg
Stephenie Meyer,2008,"The Host (The Host, #1)",https://images.gr-assets.com/books/1318009171m/1656001.jpg
John Green,2005,Looking for Alaska,https://images.gr-assets.com/books/1394798630m/99561.jpg
Helen Fielding,1996,"Bridget Jones's Diary (Bridget Jones, #1)",https://images.gr-assets.com/books/1292060045m/227443.jpg
"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,https://images.gr-assets.com/books/1397245675m/14935.jpg
"Louis Sachar, Louis Sachar",1998,"Holes (Holes, #1)",https://images.gr-assets.com/books/1327781893m/38709.jpg
Lauren Weisberger,2003,"The Devil Wears Prada (The Devil Wears Prada, #1)",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,The Odyssey,https://images.gr-assets.com/books/1390173285m/1381.jpg
"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,The Little Prince,https://images.gr-assets.com/books/1367545443m/157993.jpg
Jeannette Walls,2005,The Glass Castle,https://images.gr-assets.com/books/1400930557m/7445.jpg
Jon Krakauer,1996,Into the Wild,https://images.gr-assets.com/books/1403173986m/1845.jpg
"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities,https://images.gr-assets.com/books/1344922523m/1953.jpg
Michael Crichton,1990,"Jurassic Park (Jurassic Park, #1)",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Shel Silverstein,1964,The Giving Tree,https://images.gr-assets.com/books/1174210942m/370493.jpg
John Grisham,1989,A Time to Kill,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
"Elie Wiesel, Marion Wiesel",1958,Night (The Night Trilogy #1),https://images.gr-assets.com/books/1473495285m/1617.jpg
John Green,2008,Paper Towns,https://images.gr-assets.com/books/1349013610m/6442769.jpg
William Goldman,1973,The Princess Bride ,https://images.gr-assets.com/books/1327903636m/21787.jpg
S.E. Hinton,1967,The Outsiders,https://images.gr-assets.com/books/1442129426m/231804.jpg
James Dashner,2009,"The Maze Runner (Maze Runner, #1)",https://images.gr-assets.com/books/1375596592m/6186357.jpg
"Steven D. Levitt, Stephen J. Dubner",2005,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",https://images.gr-assets.com/books/1327909092m/1202.jpg
Frances Hodgson Burnett,1911,The Secret Garden,https://images.gr-assets.com/books/1327873635m/2998.jpg
"Gabriel García Márquez, Gregory Rabassa",1967,One Hundred Years of Solitude,https://images.gr-assets.com/books/1327881361m/320.jpg
"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray,https://images.gr-assets.com/books/1424596966m/5297.jpg
E.L. James,2012,"Fifty Shades Freed (Fifty Shades, #3)",https://images.gr-assets.com/books/1336418837m/13536860.jpg
"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula,https://images.gr-assets.com/books/1387151694m/17245.jpg
"Stieg Larsson, Reg Keeland",2006,"The Girl Who Played with Fire (Millennium, #2)",https://images.gr-assets.com/books/1351778881m/5060378.jpg
E.L. James,2011,"Fifty Shades Darker (Fifty Shades, #2)",https://images.gr-assets.com/books/1358266080m/11857408.jpg
Barbara Kingsolver,1998,The Poisonwood Bible,https://images.gr-assets.com/books/1412242487m/7244.jpg
David Sedaris,2000,Me Talk Pretty One Day,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Maurice Sendak,1963,Where the Wild Things Are,https://images.gr-assets.com/books/1384434560m/19543.jpg
"Alexandre Dumas, Robin Buss",1844,The Count of Monte Cristo,https://images.gr-assets.com/books/1309203605m/7126.jpg
Cormac McCarthy,2006,The Road,https://images.gr-assets.com/books/1439197219m/6288.jpg
Veronica Roth,2013,"Allegiant (Divergent, #3)",https://images.gr-assets.com/books/1395582745m/18710190.jpg
Tina Fey,2011,Bossypants,https://images.gr-assets.com/books/1481509554m/9418327.jpg
Nicholas Sparks,1999,A Walk to Remember,https://images.gr-assets.com/books/1385738968m/3473.jpg
Sophie Kinsella,2000,"Confessions of a Shopaholic (Shopaholic, #1)",https://images.gr-assets.com/books/1327872404m/9416.jpg
"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misérables,https://images.gr-assets.com/books/1411852091m/24280.jpg
George R.R. Martin,1998,"A Clash of Kings  (A Song of Ice and Fire, #2)",https://images.gr-assets.com/books/1358254974m/10572.jpg
Kim Edwards,2005,The Memory Keeper's Daughter,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Jojo Moyes,2012,"Me Before You (Me Before You, #1)",https://images.gr-assets.com/books/1357108762m/15507958.jpg
Joseph Heller,1961,Catch-22,https://images.gr-assets.com/books/1463157317m/168668.jpg
"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie,https://images.gr-assets.com/books/1423763749m/6900.jpg
Jeffrey Eugenides,2002,Middlesex,https://images.gr-assets.com/books/1437029776m/2187.jpg
"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer,https://images.gr-assets.com/books/1404811979m/24583.jpg
Madeleine L'Engle,1962,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",https://images.gr-assets.com/books/1329061522m/18131.jpg
Amy Tan,1989,The Joy Luck Club,https://images.gr-assets.com/books/1304978653m/7763.jpg
Margaret Atwood,1985,The Handmaid's Tale,https://images.gr-assets.com/books/1498057733m/38447.jpg
Ann Brashares,2001,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",https://images.gr-assets.com/books/1461611233m/452306.jpg
"Vladimir Nabokov, Craig Raine",1955,Lolita,https://images.gr-assets.com/books/1377756377m/7604.jpg
"Gregory Maguire, Douglas Smith",1995,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",https://images.gr-assets.com/books/1437733293m/37442.jpg
John Grisham,1991,"The Firm (Penguin Readers, Level 5)",https://images.gr-assets.com/books/1418465200m/5358.jpg
Emma Donoghue,2010,Room,https://images.gr-assets.com/books/1344265419m/7937843.jpg
"William Shakespeare, Richard Andrews, Rex Gibson",1600,Hamlet,https://images.gr-assets.com/books/1351051208m/1420.jpg
Frank Herbert,1965,Dune (Dune Chronicles #1),https://images.gr-assets.com/books/1434908555m/234225.jpg
Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference,https://images.gr-assets.com/books/1473396980m/2612.jpg
Walter Isaacson,2011,Steve Jobs,https://images.gr-assets.com/books/1327861368m/11084145.jpg
Ken Kesey,1962,One Flew Over the Cuckoo's Nest,https://images.gr-assets.com/books/1485308778m/332613.jpg
Ernest Hemingway,1952,The Old Man and the Sea,https://images.gr-assets.com/books/1329189714m/2165.jpg
John Steinbeck,1939,The Grapes of Wrath,https://images.gr-assets.com/books/1352912927m/4395.jpg
Mitch Albom,2003,The Five People You Meet in Heaven,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
L.M. Montgomery,1908,"Anne of Green Gables (Anne of Green Gables, #1)",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Cassandra Clare,2009,"City of Glass (The Mortal Instruments, #3)",https://images.gr-assets.com/books/1369452339m/3777732.jpg
George R.R. Martin,2000,"A Storm of Swords (A Song of Ice and Fire, #3)",https://images.gr-assets.com/books/1497931121m/62291.jpg
Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood,https://images.gr-assets.com/books/1408313524m/137791.jpg
Diana Gabaldon,1991,"Outlander (Outlander, #1)",https://images.gr-assets.com/books/1402600310m/10964.jpg
"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter,https://images.gr-assets.com/books/1404810944m/12296.jpg
"Stieg Larsson, Reg Keeland",2007,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",https://images.gr-assets.com/books/1327708260m/6892870.jpg
Ken Follett,1989,"The Pillars of the Earth (The Kingsbridge Series, #1)",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Anthony Doerr,2014,All the Light We Cannot See,https://images.gr-assets.com/books/1451445646m/18143977.jpg
Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",https://images.gr-assets.com/books/1327861115m/8664353.jpg
Dan Brown,2001,Deception Point,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Donna Tartt,2013,The Goldfinch,https://images.gr-assets.com/books/1451554970m/17333223.jpg
Jay Asher,2007,Thirteen Reasons Why,https://images.gr-assets.com/books/1333822506m/1217100.jpg
Tracy Chevalier,1999,Girl with a Pearl Earring,https://images.gr-assets.com/books/1327197580m/2865.jpg
Gayle Forman,2009,"If I Stay (If I Stay, #1)",https://images.gr-assets.com/books/1347462970m/4374400.jpg
Anita Diamant,1997,The Red Tent,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Rick Riordan,2006,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",https://images.gr-assets.com/books/1400602661m/28186.jpg
Nicholas Sparks,2006,Dear John,https://images.gr-assets.com/books/1397749854m/5526.jpg
Cassandra Clare,2008,"City of Ashes (The Mortal Instruments, #2)",https://images.gr-assets.com/books/1432730356m/1582996.jpg
William Shakespeare,1606,Macbeth,https://images.gr-assets.com/books/1459795224m/8852.jpg
J.R.R. Tolkien,1954,"The Two Towers (The Lord of the Rings, #2)",https://images.gr-assets.com/books/1298415523m/15241.jpg
Emily Giffin,2004,"Something Borrowed (Darcy & Rachel, #1)",https://images.gr-assets.com/books/1305063535m/42156.jpg
"Dr. Seuss, לאה נאור",1960,Green Eggs and Ham,https://images.gr-assets.com/books/1468680100m/23772.jpg
"Roald Dahl, Quentin Blake",1964,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",https://images.gr-assets.com/books/1309211401m/6310.jpg
Rick Riordan,2008,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",https://images.gr-assets.com/books/1443142158m/2120932.jpg
Charles Dickens,1860,Great Expectations,https://images.gr-assets.com/books/1327920219m/2623.jpg
J.R.R. Tolkien,1955,"The Return of the King (The Lord of the Rings, #3)",https://images.gr-assets.com/books/1389977161m/18512.jpg
"Albert Camus, Matthew    Ward",1942,The Stranger,https://images.gr-assets.com/books/1349927872m/49552.jpg
Rick Riordan,2010,"The Lost Hero (The Heroes of Olympus, #1)",https://images.gr-assets.com/books/1464201003m/7736182.jpg
Rainbow Rowell,2013,Eleanor & Park,https://images.gr-assets.com/books/1341952742m/15745753.jpg
George R.R. Martin,2005,"A Feast for Crows (A Song of Ice and Fire, #4)",https://images.gr-assets.com/books/1429538615m/13497.jpg
Ally Condie,2010,"Matched (Matched, #1)",https://images.gr-assets.com/books/1367706191m/7735333.jpg
Neil Gaiman,2001,"American Gods (American Gods, #1)",https://images.gr-assets.com/books/1258417001m/4407.jpg
"Stephen King, Bernie Wrightson",1978,The Stand,https://images.gr-assets.com/books/1213131305m/149267.jpg
Nicholas Sparks,2008,The Last Song,https://images.gr-assets.com/books/1286549186m/6400090.jpg
Dan Brown,1998,Digital Fortress,https://images.gr-assets.com/books/1360095966m/11125.jpg
"Jane Austen, Fiona Stafford",1815,Emma,https://images.gr-assets.com/books/1373627931m/6969.jpg
"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877,Anna Karenina,https://images.gr-assets.com/books/1352422904m/15823480.jpg
Anthony Burgess,1962,A Clockwork Orange,https://images.gr-assets.com/books/1348339306m/227463.jpg
William Paul Young,2007,The Shack,https://images.gr-assets.com/books/1344270232m/1812457.jpg
Rick Riordan,2009,"The Last Olympian (Percy Jackson and the Olympians, #5)",https://images.gr-assets.com/books/1327924597m/4502507.jpg
Stephen King,1986,It,https://images.gr-assets.com/books/1309376909m/18342.jpg
"Fyodor Dostoyevsky, David McDuff",1866,Crime and Punishment,https://images.gr-assets.com/books/1382846449m/7144.jpg
Sylvia Plath,1963,The Bell Jar,https://images.gr-assets.com/books/1473890514m/6514.jpg
Frank McCourt,1996,"Angela's Ashes (Frank McCourt, #1)",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
"Hermann Hesse, Hilda Rosner",1922,Siddhartha,https://images.gr-assets.com/books/1428715580m/52036.jpg
Truman Capote,1965,In Cold Blood,https://images.gr-assets.com/books/1424931136m/168642.jpg
"Kami Garcia, Margaret Stohl",2009,"Beautiful Creatures (Caster Chronicles, #1)",https://images.gr-assets.com/books/1327873282m/6304335.jpg
Cassandra Clare,2010,"Clockwork Angel (The Infernal Devices, #1)",https://images.gr-assets.com/books/1454962884m/7171637.jpg
"Roald Dahl, Quentin Blake",1988,Matilda,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
Erin Morgenstern,2011,The Night Circus,https://images.gr-assets.com/books/1387124618m/9361589.jpg
Philippa Gregory,2001,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",https://images.gr-assets.com/books/1355932638m/37470.jpg
Scott Westerfeld,2005,"Uglies (Uglies, #1)",https://images.gr-assets.com/books/1443904172m/24770.jpg
George R.R. Martin,2011,"A Dance with Dragons (A Song of Ice and Fire, #5)",https://images.gr-assets.com/books/1327885335m/10664113.jpg
J.R.R. Tolkien,1955,"The Lord of the Rings (The Lord of the Rings, #1-3)",https://images.gr-assets.com/books/1411114164m/33.jpg
Cheryl Strayed,2012,Wild: From Lost to Found on the Pacific Crest Trail,https://images.gr-assets.com/books/1453189881m/12262741.jpg
"Alan Moore, Dave Gibbons, John Higgins",1987,Watchmen,https://images.gr-assets.com/books/1442239711m/472331.jpg
Patrick Rothfuss,2007,"The Name of the Wind (The Kingkiller Chronicle, #1)",https://images.gr-assets.com/books/1472068073m/186074.jpg
Malcolm Gladwell,2008,Outliers: The Story of Success,https://images.gr-assets.com/books/1344266315m/3228917.jpg
"Herman Melville, Andrew Delbanco, Tom Quirk",1851,"Moby-Dick or, The Whale",https://images.gr-assets.com/books/1327940656m/153747.jpg
"Mary Ann Shaffer, Annie Barrows",2008,The Guernsey Literary and Potato Peel Pie Society,https://images.gr-assets.com/books/1351979318m/2728527.jpg
Chuck Palahniuk,1996,Fight Club,https://images.gr-assets.com/books/1357128997m/5759.jpg
Charlaine Harris,2001,"Dead Until Dark (Sookie Stackhouse, #1)",https://images.gr-assets.com/books/1468560853m/301082.jpg
Alice Walker,1982,The Color Purple,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
